execution_id,execution_date,execution_status,stage_name,stage_order,stage_status,duration_seconds,records_in,records_out,records_failed,success_rate_pct,memory_usage_mb,cpu_usage_percent,error_count,warning_count,quality_score,validations_passed,validations_failed
df989e83-7b1a-4768-a5ba-be12dde3aab8,2026-02-18 04:42:14,completed,VALIDATION,2,completed,4.073,10000,10000,0,100.00,,,0,0,95.65217391304348,44,2
df989e83-7b1a-4768-a5ba-be12dde3aab8,2026-02-18 04:42:14,completed,TRANSFORMATION,3,completed,0.055,15910,15910,0,100.00,,,0,0,,,
e5132bbf-a03e-4211-98eb-f38b6daef1fa,2026-02-18 04:32:15,completed,INGESTION,1,failed,0.118,0,10000,0,,,,1,0,,,
e5132bbf-a03e-4211-98eb-f38b6daef1fa,2026-02-18 04:32:15,completed,VALIDATION,2,completed,4.092,10000,10000,0,100.00,,,0,0,95.65217391304348,44,2
e5132bbf-a03e-4211-98eb-f38b6daef1fa,2026-02-18 04:32:15,completed,TRANSFORMATION,3,completed,0.041,15910,15910,0,100.00,,,0,0,,,
d8f50a83-b259-4dac-8612-18d0c64530ba,2026-02-18 04:21:01,completed,INGESTION,1,failed,0.213,0,10000,0,,,,1,0,,,
d8f50a83-b259-4dac-8612-18d0c64530ba,2026-02-18 04:21:01,completed,VALIDATION,2,completed,3.712,10000,10000,0,100.00,,,0,0,95.65217391304348,44,2
d8f50a83-b259-4dac-8612-18d0c64530ba,2026-02-18 04:21:01,completed,TRANSFORMATION,3,completed,0.043,15910,15910,0,100.00,,,0,0,,,
795ce944-ca44-4a78-95f8-9fe782136f42,2026-02-18 04:18:00,completed,INGESTION,1,failed,0.143,0,10000,0,,,,1,0,,,
795ce944-ca44-4a78-95f8-9fe782136f42,2026-02-18 04:18:00,completed,VALIDATION,2,completed,3.827,10000,10000,0,100.00,,,0,0,95.65217391304348,44,2
795ce944-ca44-4a78-95f8-9fe782136f42,2026-02-18 04:18:00,completed,TRANSFORMATION,3,completed,0.083,15910,15910,0,100.00,,,0,0,,,
cd5ca17a-7878-43c4-a319-673cac2414d5,2026-02-18 04:15:51,completed,INGESTION,1,failed,0.111,0,10000,0,,,,1,0,,,
cd5ca17a-7878-43c4-a319-673cac2414d5,2026-02-18 04:15:51,completed,VALIDATION,2,completed,3.890,10000,10000,0,100.00,,,0,0,95.65217391304348,44,2
cd5ca17a-7878-43c4-a319-673cac2414d5,2026-02-18 04:15:51,completed,TRANSFORMATION,3,completed,0.032,15910,15910,0,100.00,,,0,0,,,
a259da34-fb3b-4bc4-abe3-e490fed5f222,2026-02-18 04:07:56,completed,INGESTION,1,failed,0.141,0,10000,0,,,,1,0,,,
a259da34-fb3b-4bc4-abe3-e490fed5f222,2026-02-18 04:07:56,completed,VALIDATION,2,completed,3.803,10000,10000,0,100.00,,,0,0,95.65217391304348,44,2
a259da34-fb3b-4bc4-abe3-e490fed5f222,2026-02-18 04:07:56,completed,TRANSFORMATION,3,completed,0.027,15910,15910,0,100.00,,,0,0,,,
22046753-8d6a-4015-9974-d44695a75151,2026-02-18 02:10:24,completed,INGESTION,1,completed,0.208,0,60000,0,,,,0,0,,,
22046753-8d6a-4015-9974-d44695a75151,2026-02-18 02:10:24,completed,VALIDATION,2,completed,9.557,60000,60000,0,100.00,,,0,0,94.87179487179486,74,4
22046753-8d6a-4015-9974-d44695a75151,2026-02-18 02:10:24,completed,TRANSFORMATION,3,completed,0.031,58358,58358,0,100.00,,,0,0,,,
e277c944-aa64-4172-9c85-fbbfd1d5cfde,2026-02-18 01:53:18,completed,INGESTION,1,failed,0.102,0,10000,0,,,,1,0,,,
e277c944-aa64-4172-9c85-fbbfd1d5cfde,2026-02-18 01:53:18,completed,VALIDATION,2,completed,3.817,10000,10000,0,100.00,,,0,0,95.65217391304348,44,2
e277c944-aa64-4172-9c85-fbbfd1d5cfde,2026-02-18 01:53:18,completed,TRANSFORMATION,3,completed,0.059,15910,15910,0,100.00,,,0,0,,,
01c2d83d-a9ec-497f-9005-c07b028022e5,2026-02-18 01:49:52,completed,INGESTION,1,completed,0.216,0,60000,0,,,,0,0,,,
01c2d83d-a9ec-497f-9005-c07b028022e5,2026-02-18 01:49:52,completed,VALIDATION,2,completed,9.370,60000,60000,0,100.00,,,0,0,96.15384615384616,75,3
e11636c8-d02f-4208-a165-cb0f52dcbcdf,2026-02-18 01:49:34,running,INGESTION,1,completed,0.269,0,60000,0,,,,0,0,,,
7fa6b93e-f529-4622-9e95-aecd59681813,2026-02-18 00:34:22,completed,TRANSFORMATION,3,completed,0.056,15910,15910,0,100.00,,,0,0,,,
f87b782a-b61e-4cee-b6c7-3c5b7b910496,2026-02-18 00:34:04,completed,VALIDATION,2,completed,8.658,25910,25910,0,100.00,,,0,0,95.65217391304348,44,2
95d7dbbb-47bf-4bf5-9d62-f502497d30a8,2026-02-18 00:33:54,completed,INGESTION,1,failed,0.292,0,10000,0,,,,1,0,,,
3786db2d-ca5c-4b9a-87f9-8b4618edb7ec,2026-02-18 00:32:07,completed,INGESTION,1,completed,0.386,0,60000,0,,,,0,0,,,
3786db2d-ca5c-4b9a-87f9-8b4618edb7ec,2026-02-18 00:32:07,completed,VALIDATION,2,completed,18.158,60000,60000,0,100.00,,,0,0,94.87179487179486,74,4
3786db2d-ca5c-4b9a-87f9-8b4618edb7ec,2026-02-18 00:32:07,completed,TRANSFORMATION,3,completed,0.065,58358,58358,0,100.00,,,0,0,,,
5702134c-956c-409d-a2e7-db5303115e43,2026-02-18 00:29:31,completed,INGESTION,1,completed,0.516,0,60000,0,,,,0,0,,,
5702134c-956c-409d-a2e7-db5303115e43,2026-02-18 00:29:31,completed,VALIDATION,2,completed,18.221,60000,60000,0,100.00,,,0,0,93.58974358974359,73,5
5702134c-956c-409d-a2e7-db5303115e43,2026-02-18 00:29:31,completed,TRANSFORMATION,3,completed,0.079,58358,58358,0,100.00,,,0,0,,,
63eb1cb1-c594-44e8-8048-3994083319c9,2026-02-18 00:21:45,completed,INGESTION,1,completed,1.037,0,60000,0,,,,0,0,,,
63eb1cb1-c594-44e8-8048-3994083319c9,2026-02-18 00:21:45,completed,VALIDATION,2,completed,51.360,60000,60000,0,100.00,,,0,0,93.58974358974359,73,5
63eb1cb1-c594-44e8-8048-3994083319c9,2026-02-18 00:21:45,completed,TRANSFORMATION,3,completed,0.088,58358,58358,0,100.00,,,0,0,,,
a7de70bb-27e3-4dd4-a243-86bfd571d043,2026-02-18 00:00:28,completed,TRANSFORMATION,3,completed,0.043,15910,15910,0,100.00,,,0,0,,,
5e497d37-5968-4e95-896b-ef1c4550af79,2026-02-18 00:00:13,completed,VALIDATION,2,completed,7.461,25910,25910,0,100.00,,,0,0,95.65217391304348,44,2
96a13b8d-2937-4511-bed3-1d1c5fb39249,2026-02-18 00:00:05,completed,INGESTION,1,failed,0.206,0,10000,0,,,,1,0,,,
4256fb9e-5cfe-4e5d-b8fd-988e1c8bf401,2026-02-17 13:33:21,completed,TRANSFORMATION,3,completed,0.067,15910,15910,0,100.00,,,0,0,,,
e88885f1-991b-453c-9ef1-6ec2a7c88c3b,2026-02-17 13:33:04,completed,VALIDATION,2,completed,8.878,25910,25910,0,100.00,,,0,0,95.65217391304348,44,2
c9912dc7-ede3-43cb-ab66-b82b4bc0d139,2026-02-17 13:32:55,completed,INGESTION,1,failed,0.233,0,10000,0,,,,1,0,,,
8771dc98-e86d-4881-8b79-96a975163e9a,2026-02-17 13:31:25,completed,TRANSFORMATION,3,completed,0.090,15910,15910,0,100.00,,,0,0,,,
7cbd6321-0a7b-4499-b104-6624d53c02b1,2026-02-17 13:31:07,completed,VALIDATION,2,completed,8.785,25910,25910,0,100.00,,,0,0,95.65217391304348,44,2
493a9496-1b5a-43b9-81c1-49293124d01b,2026-02-17 13:30:58,completed,INGESTION,1,failed,0.290,0,10000,0,,,,1,0,,,
2b8bedf1-0788-46e2-bd3a-2f4b443e7e9e,2026-02-17 13:29:17,completed,TRANSFORMATION,3,completed,0.052,15910,15910,0,100.00,,,0,0,,,
