execution_id,pipeline_name,status,execution_type,triggered_by,environment,start_time,end_time,duration_seconds,records_processed,records_failed,quality_score,health_status,total_errors,total_warnings,report_path,executive_report_path
41c0ab2a-0c2e-45c0-9c89-22c27d8ab255,CustomerTransactionPipeline,failed,manual,,development,2026-02-10 12:27:21,2026-02-10 12:27:40,19.398,61000,0,56.16,failed,0,0,reports\execution_41c0ab2a_20260210_072740.html,reports\executive_41c0ab2a_20260210_072740.html
0fdf5a39-d461-4ddd-8be6-ff6a7372b105,CustomerTransactionPipeline,failed,manual,,development,2026-02-10 12:26:25,2026-02-10 12:26:44,18.730,61000,0,60.27,failed,0,0,reports\execution_0fdf5a39_20260210_072644.html,reports\executive_0fdf5a39_20260210_072644.html
